Numero du groupe,Femmes,Hommes,Enfants,Tot,WCHR,Classe,TransitTime
1,0,1,0,1,0,Y,01:15:00
2,1,0,0,1,0,Y,00:00:00
3,0,1,0,1,0,Y,00:00:00
4,1,0,0,1,0,Y,00:00:00
5,0,2,0,2,0,Y,05:25:00
6,1,0,0,1,0,Y,00:00:00
7,1,0,0,1,0,Y,03:10:00
8,1,1,0,2,0,Y,01:20:00
9,0,1,0,1,0,Y,02:20:00
10,1,0,0,1,0,Y,00:00:00
11,1,1,0,2,0,Y,03:55:00
12,0,1,0,1,0,Y,01:10:00
13,0,1,0,1,0,Y,00:00:00
14,1,1,0,2,0,Y,00:00:00
15,0,1,0,1,0,Y,06:00:00
16,0,1,0,1,0,Y,01:35:00
17,1,1,0,2,0,Y,01:00:00
18,0,1,0,1,0,Y,02:00:00
19,2,2,0,4,0,Y,00:00:00
20,2,2,0,4,0,Y,01:05:00
21,2,0,1,3,0,Y,00:00:00
22,1,0,0,1,0,Y,01:05:00
23,1,1,0,2,0,Y,00:50:00
24,1,1,0,2,0,Y,00:00:00
25,0,1,0,1,0,Y,01:20:00
26,0,1,0,1,0,Y,00:00:00
27,0,2,0,2,0,Y,00:00:00
28,0,1,0,1,0,Y,03:30:00
29,1,0,0,1,0,Y,06:00:00
30,0,1,0,1,0,Y,03:10:00
31,1,1,0,2,0,Y,01:35:00
32,0,1,0,1,0,Y,00:00:00
33,0,1,0,1,0,Y,06:00:00
34,1,1,0,2,0,Y,01:30:00
35,1,1,0,2,0,Y,01:10:00
36,1,0,0,1,0,Y,00:00:00
37,0,1,0,1,0,Y,02:20:00
38,0,1,0,1,0,Y,03:30:00
39,1,1,0,2,0,Y,01:35:00
40,0,1,0,1,0,Y,00:45:00
41,0,1,0,1,0,Y,00:00:00
42,0,1,0,1,0,Y,00:00:00
43,0,1,0,1,0,Y,00:00:00
44,0,1,0,1,0,Y,00:00:00
45,1,1,0,2,0,Y,00:00:00
46,0,1,0,1,0,Y,01:20:00
47,0,1,0,1,0,Y,01:10:00
48,1,0,0,1,0,Y,01:10:00
49,0,1,0,1,0,Y,00:00:00
50,1,0,0,1,0,Y,00:00:00
51,1,1,0,2,0,Y,00:00:00
52,1,0,0,1,0,Y,01:00:00
53,1,0,0,1,0,Y,01:00:00
54,1,0,0,1,0,Y,00:00:00
55,1,1,0,2,0,Y,00:00:00
56,1,1,0,2,0,Y,00:00:00
57,1,1,0,2,0,Y,01:35:00
58,0,1,0,1,0,Y,00:00:00
59,1,1,0,2,0,Y,01:10:00
60,1,0,0,1,0,Y,02:00:00
61,1,1,0,2,0,Y,00:00:00
62,0,1,0,1,0,Y,00:00:00
63,1,1,0,2,0,Y,02:00:00
64,0,1,0,1,0,Y,02:20:00
65,2,1,0,3,0,Y,00:00:00
66,1,0,0,1,0,Y,03:10:00
67,0,1,0,1,0,Y,00:00:00
68,1,1,0,2,0,Y,00:00:00
69,0,1,0,1,0,Y,00:00:00
70,1,0,0,1,0,Y,00:00:00
71,1,1,0,2,0,Y,02:00:00
72,1,0,0,1,0,Y,00:00:00
73,0,1,0,1,0,Y,03:30:00
74,0,1,0,1,0,Y,01:05:00
75,0,1,0,1,0,Y,01:35:00
76,1,0,0,1,0,Y,01:35:00
77,1,1,0,2,0,Y,01:00:00
78,0,1,0,1,0,Y,03:30:00
79,0,1,0,1,0,Y,00:00:00
80,0,1,0,1,0,Y,01:40:00
81,0,1,0,1,0,Y,02:00:00
82,0,1,0,1,0,Y,01:40:00
83,0,1,0,1,0,Y,01:40:00
84,0,1,0,1,0,Y,01:40:00
85,0,1,0,1,0,Y,01:40:00
86,0,1,0,1,0,Y,01:10:00
87,1,1,0,2,0,Y,01:00:00
88,1,0,0,1,0,Y,00:00:00
89,1,0,0,1,0,Y,02:00:00
90,1,0,0,1,0,Y,00:00:00
91,0,1,0,1,0,Y,01:00:00
92,1,1,0,2,0,Y,00:00:00
93,0,1,0,1,0,Y,00:00:00
94,0,1,0,1,0,Y,00:00:00
95,1,1,0,2,0,Y,01:30:00
96,1,0,0,1,0,Y,02:15:00
97,0,1,0,1,0,Y,06:00:00
98,0,1,0,1,0,Y,00:00:00
99,0,1,0,1,0,Y,03:30:00
100,1,0,0,1,0,Y,00:00:00
101,1,0,0,1,0,Y,00:00:00
102,0,1,0,1,0,Y,01:40:00
103,1,1,0,2,0,Y,01:20:00
104,1,1,0,2,0,Y,00:00:00
105,1,0,0,1,0,Y,02:15:00
106,0,1,0,1,0,Y,02:15:00
107,1,0,0,1,0,Y,03:30:00
108,2,0,0,2,0,Y,05:25:00
109,2,0,0,2,0,Y,05:25:00
110,2,0,0,2,0,Y,01:35:00
111,0,1,0,1,0,Y,01:00:00
